	Freq
absenteeism_turnover	0
absorptive_capacity	0
abstract	0
abstractness_challenge	0
abuse_power	0
abusive_supervision	0
academic_organizational_outcome	0
acceptability	0
acceptance_effectiveness_level	0
acceptance_group	0
acceptance_leader	0
access_resource	0
accessibility	0
accident_injury	0
accomplishment_organizational_outcome	0
account_individual	0
account_result	0
account_small	0
account_variance	0
accounting_variance	0
accuracy_total	0
accurate_perception	0
achievement_approach	0
achievement_goal_theory	0
achievement_growth	0
achievement_motivation	0
achievement_motive	0
achievement_organizational_outcome	0
achievement_oriented	0
acquaintance	0
acquaintance_stage	0
active_form	0
active_involvement	0
active_leadership_role	0
active_management_exception	0
active_participant	0
active_passive	0
active_role	0
activity_manager	0
activity_task	0
actor_affective	0
actor_network	0
actor_observer	0
actor_role	0
actual_behavior	0
actual_exchange	0
actual_experience	0
actual_innovation	0
actual_leader	0
actual_manager	0
actual_performance	0
acuity	0
ad_hoc_group	0
adaptability	0
adaptation	0
adaptation_change	0
adaptation_external	0
adaptive_culture	0
adaptive_leadership_theory	0
adaptive_system	0
adaptive_systems	0
adept	0
adhocracy_clan	0
adjacent_level	0
adjective	0
administrative_leader	0
administrative_leadership	0
administrative_work	0
admirable	0
admiration	0
admiration_leader	0
admiration_respect	0
admire	0
adolescent	0
adopter	0
adoption_appropriate	0
adoption_implementation	0
adoption_path_goal_model	0
adult_attachment	0
adulthood	0
advance_field	0
advance_theoretical	0
advance_theory	0
advance_understanding	0
advanced_manufacturing	0
advancement_satisfaction	0
adversity	0
advice_network	0
advice_support	0
advisory_support	0
advocacy	0
advocate_position	0
affection	0
affectional_bond	0
affective_be_employee	0
affective_behavioral	0
affective_cognitive	0
affective_commitment	0
affective_event	0
affective_measure	0
affective_motivational	0
affective_organizational	0
affective_outcome	0
affective_reaction	0
affective_relational	0
affective_response	0
affective_tone	0
affiliative	0
affiliative_motivation	0
agency_theory	0
agenda_future	0
agent_change	0
agentic	0
aggregate_individual	0
aggregate_level	0
aggregate_performance	0
aggressive_behavior	0
aggressiveness	0
agreeable	0
agreeable_individual	0
agreeable_leader	0
agreeableness	0
agreeableness_conscientiousness	0
agreeableness_related	0
agreement_climate	0
agreement_individual	0
agreement_team	0
aid_survival	0
air_crew	0
alcohol_consumption	0
alessi	0
alienation	0
alignment_leader	0
alignment_personal	0
alliger	0
alternate_approach	0
alternative_approach	0
alternative_explanation	0
alternative_level_analysis	0
alternative_model	0
alternative_theoretical	0
alternative_theory	0
altruism	0
altruism_conscientiousness	0
altruistic	0
amabile	0
ambient	0
ambiguity	0
ambiguity_complexity	0
ambiguous_situation	0
ambiguous_stimuli	0
ambivalence	0
ambivalent	0
american_manager	0
american_psychological	0
american_style	0
analogous	0
analogous_event	0
analogy	0
analytical_approach	0
ancient	0
anecdotal	0
anecdotal_evidence	0
anglosaxon	0
anonymity_creativity	0
anonymity_group	0
anonymity_moderate	0
anonymity_reward	0
anonymitys_moderation	0
anonymous_condition	0
anonymous_group	0
antecedent_charismatic_leadership_theory	0
antecedent_job	0
antecedent_knowledge	0
antecedent_organizational	0
antecedent_organizational_outcome	0
antecedent_outcome	0
antecedent_vertical_dyad_linkage_theory	0
antiprototype_difference	0
antiprototypic_trait	0
antithetical	0
antonakis	0
antonakis_house	0
anxiety_depression	0
anxiety_depressive	0
anxiety_workplace	0
anxious_ambivalent	0
anxious_attachment	0
anxious_individual	0
appeal_follower	0
appeal_higher	0
appeal_value	0
appealing_approach	0
application_hersey_blanchard_situational_leadership_model	0
application_knowledge	0
application_model	0
apprehension	0
approach_articulate	0
approach_articulation	0
approach_attribution_theory_leadership	0
approach_building	0
approach_call	0
approach_change	0
approach_communication	0
approach_consistent	0
approach_content	0
approach_creativity_decision_make	0
approach_emphaseze	0
approach_focus	0
approach_future	0
approach_highlight	0
approach_ideal	0
approach_implementation	0
approach_indifference	0
approach_inspirational	0
approach_mission	0
approach_professional_development	0
approach_regard	0
approach_relational	0
approach_setting	0
approach_statement	0
approach_symbolic	0
approach_testing	0
approach_understanding	0
appropriate_behavior	0
appropriate_combination	0
appropriate_decision	0
appropriate_direction	0
appropriate_emotional	0
appropriate_environment	0
appropriate_leadership	0
appropriate_level	0
appropriate_level_analysis	0
appropriate_response	0
appropriate_reward	0
appropriate_situation	0
appropriate_statistical	0
appropriate_time	0
appropriate_way	0
appropriateness_leader	0
aptitude	0
arab_emirates	0
archaic	0
architectural_woodwork	0
archival	0
archival_data	0
argument_base	0
argument_support	0
argumentation	0
array_project	0
arrogance	0
artefact	0
articulate	0
articulate_approach	0
artifact	0
artifactual	0
artificial_group	0
ascend	0
ascribe	0
ascription	0
ascription_route	0
ashkanasy_tse	0
asian_firm	0
asians	0
aspect_charismatic_leadership_theory	0
aspect_culture	0
aspect_effective	0
aspect_human	0
aspect_job	0
aspect_leadership	0
aspect_life	0
aspect_organizational	0
aspect_paternalistic_leadership_theory	0
aspect_school	0
aspect_self_concept	0
aspect_situation	0
aspect_subordinate	0
aspect_transactional_transformational_leadership_model	0
aspect_transformational_leadership_theory	0
aspect_work	0
aspiration	0
aspire	0
assembly_project	0
assertive	0
assertive_influence	0
assertiveness	0
assessment_effectiveness_level	0
assessment_follower	0
assessment_process	0
assessment_program	0
assessment_project	0
assessment_student	0
assessment_tool	0
asset_knowledge	0
asset_process	0
assignment_task	0
assimilate	0
assimilation	0
assimilation_phase	0
association_allied	0
association_research	0
association_style	0
association_transformational_leadership_theory	0
association_variable	0
association_vertical_dyad_linkage_theory	0
asymmetrical	0
asymmetry	0
atheoretical	0
athlete	0
attachment_approach	0
attachment_dynamics	0
attachment_style	0
attempt_address	0
attempt_change	0
attempt_increase	0
attempt_link	0
attention_aspect	0
attention_focus	0
attention_individual	0
attentional	0
attentive	0
attentive_leader	0
attenuate	0
attitude_behavior	0
attitude_behaviour	0
attitude_change	0
attitude_job	0
attitude_measure	0
attitude_perception	0
attitude_performance	0
attitude_value	0
attitudinal	0
attitudinal_behavioral	0
attractor	0
attribution	0
attribution_causality	0
attribution_charismatic_leadership_theory	0
attribution_humility	0
attribution_identification	0
attribution_intentionality	0
attribution_leader	0
attribution_process	0
attribution_theory_leadership	0
attrition	0
augmentation	0
augmentation_efect	0
augmentation_theory	0
australian_manager	0
australian_sample	0
austrian_manager	0
authentic_leader	0
authentic_leader_follower	0
authentic_leadership_theory	0
authentic_leadership_theory_development	0
authentic_leadership_theory_questionnaire_model	0
authentic_leadership_theory_questionnaire_theory	0
authenticity	0
authoritarian	0
authoritarian_democratic	0
authoritarian_leader	0
authoritarian_leadership	0
authoritarianism	0
authority_approach	0
authority_control	0
authority_power	0
authority_responsibility	0
autocratic_democratic	0
autocratic_leader	0
autocratic_leadership	0
autocratic_participative	0
autocratic_style	0
autonomous_control	0
autonomous_motivation	0
autonomy_competence	0
autonomy_empowerment	0
autonomy_grant	0
autonomy_innovative	0
autonomy_related	0
autonomy_responsibility	0
autonomy_supportive	0
availability_resource	0
avenue_future	0
aversion	0
aversive	0
avoid_responsibility	0
avoidance_country	0
avoidant	0
avoidant_attachment	0
avoidant_follower	0
avoidant_individual	0
avoidant_leader	0
avolio	0
avolio_bass	0
avolio_gardner	0
avolio_yammarino	0
awareness_personal	0
background_knowledge	0
bakker	0
balance_process	0
balance_processing	0
balance_reciprocity	0
bandura	0
banduras	0
barling	0
baron_kenny	0
basis_leadership	0
bass_avolio	0
bass_avolio_leadership	0
bass_avolio_report	0
bass_colleague	0
bass_riggio	0
bass_state	0
bass_steidlmeier	0
bass_stogdill	0
bass_transformational_leadership_theory	0
bass_valenzi	0
bass_view	0
bass_yammarino	0
basu_palazzo	0
bateman	0
beginning	0
behalf_collective	0
behalf_organization	0
behave	0
behavior_achieve	0
behavior_category	0
behavior_congruent	0
behavior_conjunction	0
behavior_consideration	0
behavior_consistent	0
behavior_contingent	0
behavior_crucial	0
behavior_dependent	0
behavior_display	0
behavior_exhibit	0
behavior_express	0
behavior_group	0
behavior_group_effectiveness_level	0
behavior_group_member	0
behavior_help	0
behavior_level	0
behavior_manipulative	0
behavior_observation	0
behavior_people	0
behavior_perception	0
behavior_predictor	0
behavior_reflective	0
behavior_related	0
behavior_relevant	0
behavior_satisfaction	0
behavior_structuring	0
behavior_subordinate	0
behavior_subordinate_attitude	0
behavior_subordinate_criterion	0
behavior_transformational_transactional	0
behavioral	0
behavioral_approach	0
behavioral_attitudinal	0
behavioral_category	0
behavioral_coding	0
behavioral_cognitive	0
behavioral_complexity	0
behavioral_component	0
behavioral_concept	0
behavioral_dimension	0
behavioral_expectation	0
behavioral_genetics	0
behavioral_intention	0
behavioral_manifestation	0
behavioral_marker	0
behavioral_measure	0
behavioral_model	0
behavioral_norm	0
behavioral_outcome	0
behavioral_response	0
behavioral_science	0
behavioral_tendency	0
behavioral_theory	0
behaviour_attitude	0
behaviour_concern	0
behaviour_description	0
behaviour_dimension	0
behaviour_direct	0
behaviour_employee	0
behaviour_leader	0
behaviour_manager	0
behaviour_nuclear	0
behavioural	0
behavioural_theory	0
belongingness	0
benefit_directive	0
benefit_greater	0
benefit_radio	0
benefit_realization	0
benefit_supply	0
benefit_team	0
benevolence	0
benevolence_salient	0
benevolent	0
benevolent_behavior	0
benevolent_leadership	0
benevolent_moral	0
bennis_nanus	0
betterment	0
betweenness	0
betweenness_centrality	0
betweenness_position	0
bi_factorial	0
biased	0
biased_attribution	0
bidirectional	0
big_picture	0
bigley_roberts	0
bioclimate	0
bioclimate_wealth	0
bioclimatic	0
bioga	0
biographical	0
biophysical	0
blake_mouton_managerial_grid_model_leadership	0
blanchard	0
blanchard_suggestion	0
bligh	0
body_empirical	0
body_evidence	0
body_knowledge	0
body_language	0
body_literature	0
body_mind	0
body_work	0
bogardus	0
bogus_feedback	0
bold_approach	0
bolden	0
boldness	0
boldness_approach	0
bono_judge	0
bored	0
boredom	0
bosss	0
bottom_level	0
bouchard	0
boundary_condition	0
boundary_span	0
bowers_seashore	0
boyer	0
brain	0
brainstorm	0
brainstorming	0
brainstorming_spirit	0
brainstorming_task	0
brainstorming_tool	0
breadth	0
breadth_self_efficacy	0
bridge_gap	0
bright_dark	0
bright_trait	0
brockner	0
brokerage_position	0
brown_colleague	0
brown_levinsons	0
bryman	0
build_confidence	0
building_confidence	0
building_erosion	0
building_incident	0
building_previous	0
building_testing	0
building_work	0
bullying_harassment	0
bureaucratic_organization	0
bureaucratic_structure	0
burnout	0
burnout_candidate	0
burnout_negative	0
burns_bass	0
business_decision	0
business_environment	0
business_government	0
business_people	0
business_setting	0
business_studies	0
business_success	0
business_transformation	0
business_value	0
bypass_organizational_outcome	0
bystander	0
calculative	0
calder_pfeffer	0
call_transactional_transformational_leadership_model	0
campus	0
capacity_influence	0
capacity_positive	0
capitalism	0
care_employee	0
career_advancement	0
career_choice	0
career_oriented	0
career_path	0
career_role	0
career_success	0
caregiver	0
caregiver_responsiveness	0
caring_concern	0
carless	0
cascade_leadership	0
cascading	0
categorical	0
categorical_approach	0
categorization	0
categorization_theory	0
categorize	0
caucasians	0
causal	0
causal_attribution	0
causal_chain	0
causal_direction	0
causal_explanation	0
causal_inference	0
causal_linkage	0
causal_model	0
causal_organizational_outcome	0
causal_process	0
causal_relation	0
causal_relationship	0
causality	0
causation	0
central_argument	0
central_characteristic	0
central_position	0
central_premise	0
central_social	0
central_tendency	0
central_tenet	0
central_understanding	0
centrality	0
centrality_expressive	0
centrality_work	0
centralization	0
centralization_decision_make	0
centralization_power	0
ceo_charismatic_leadership_theory	0
ceo_top_management	0
chain_command	0
chain_level	0
chain_management	0
chain_network	0
chain_project	0
chain_stakeholder	0
chairperson	0
challenge_face	0
challenge_opportunity	0
challenge_status	0
challenge_theory	0
challenging_approach	0
challenging_follower	0
challenging_task	0
challenging_theory	0
change_agent	0
change_composition	0
change_environment	0
change_healthcare	0
change_in_group	0
change_initiation	0
change_initiative	0
change_innovation	0
change_leadership_transformational_leadership_theory	0
change_management	0
change_nature	0
change_oriented	0
change_oriented_leader	0
change_original	0
change_project	0
change_related	0
change_situational	0
change_specific	0
change_specific_behavior	0
change_transformation_oriented	0
changing_environment	0
channel_communication	0
chaos	0
characteristic_alignment	0
characteristic_anonymity	0
characteristic_behavior	0
characteristic_causality	0
characteristic_charismatic_leadership_theory	0
characteristic_circle	0
characteristic_climate	0
characteristic_common	0
characteristic_dyad	0
characteristic_dyadic	0
characteristic_exchange	0
characteristic_exhibit	0
characteristic_follower	0
characteristic_high_characteristic	0
characteristic_improvement	0
characteristic_individual	0
characteristic_interpersonal	0
characteristic_life	0
characteristic_management	0
characteristic_person	0
characteristic_principalship	0
characteristic_quantity	0
characteristic_related	0
characteristic_relationship	0
characteristic_salient	0
characteristic_subordinate	0
characteristic_successful	0
characteristic_task	0
characteristic_teacher_work	0
characteristic_teaching	0
characteristic_team_member	0
characteristic_vertical_dyad_linkage_theory	0
characterization	0
charge_nurse	0
charismatic_leadership_theory_antecedent	0
charismatic_leadership_theory_appeal	0
charismatic_leadership_theory_articulate	0
charismatic_leadership_theory_attractiveness	0
charismatic_leadership_theory_attribution	0
charismatic_leadership_theory_autocratic	0
charismatic_leadership_theory_behavior_follower	0
charismatic_leadership_theory_burnout	0
charismatic_leadership_theory_ceo	0
charismatic_leadership_theory_communication	0
charismatic_leadership_theory_component	0
charismatic_leadership_theory_compound	0
charismatic_leadership_theory_house	0
charismatic_leadership_theory_ideological	0
charismatic_leadership_theory_inspirational	0
charismatic_leadership_theory_intellectual	0
charismatic_leadership_theory_leader_articulate	0
charismatic_leadership_theory_leader_imagery	0
charismatic_leadership_theory_leader_inspirational	0
charismatic_leadership_theory_leader_institute	0
charismatic_leadership_theory_matter	0
charismatic_leadership_theory_non_charismatic_leadership_theory	0
charismatic_leadership_theory_phenomenon	0
charismatic_leadership_theory_president	0
charismatic_leadership_theory_rating	0
charismatic_leadership_theory_scale	0
charismatic_leadership_theory_servant	0
charismatic_leadership_theory_tendency	0
charismatic_leadership_theory_transformation_leadership	0
charismatic_leadership_theory_transformational_visionary	0
charismatic_leadership_theory_visionary	0
chief_executive	0
child_experience	0
childhood_adolescence	0
childhood_experience	0
chinese_context	0
chinese_cultural	0
chinese_culture	0
chinese_family	0
chinese_firm	0
chinese_organization	0
chinese_society	0
chinese_student	0
chronic_self_schema	0
circumstance_people	0
citizenship_behavior	0
citizenship_behavior_subordinate	0
citizenship_behaviour	0
city_police	0
civic_capacity	0
civic_virtue	0
claim_effective	0
claim_transformational	0
claim_transformational_leadership_theory	0
clarification_peer	0
clarify_expectation	0
clarify_role	0
clarity_job	0
class_leader	0
classic_work	0
classical	0
classical_greek	0
classical_greeks	0
classical_trait	0
classification_leadership	0
classification_scheme	0
classroom	0
classroom_observation	0
classroom_practice	0
clear_approach	0
client_environment	0
client_maturity	0
client_worker	0
climate_condition	0
climate_culture	0
climate_foster	0
climate_injury	0
climate_innovation	0
climate_related	0
climate_safety	0
climate_service	0
climate_support	0
climate_team	0
climate_wealth	0
climatic	0
climatic_resource	0
clinical_care	0
clinical_guideline	0
clinical_nurse	0
clinical_practice	0
clinical_supervision	0
clinical_teacher	0
clinician	0
close_action	0
close_charismatic_leadership_theory	0
close_distant_charismatic_leadership_theory	0
close_follower	0
close_leadership	0
close_relationship	0
close_supervision	0
closeness_centrality	0
closure_group	0
closure_political	0
closure_related	0
closure_scale	0
closure_time	0
co_existence	0
co_leadership	0
co_worker_commitment_decision_value	0
coach_follower	0
coach_leadership	0
coach_mentor	0
coaching	0
coaching_behavior	0
coaching_monitoring	0
coaching_style	0
coalition_tactic	0
code_ethic	0
coder	0
codify	0
coding	0
coercion	0
coercive_power	0
cognition_behavior	0
cognition_emotion	0
cognitive	0
cognitive_ability	0
cognitive_affective	0
cognitive_base	0
cognitive_categorization	0
cognitive_category	0
cognitive_closure	0
cognitive_complexity	0
cognitive_emotional	0
cognitive_evaluation	0
cognitive_mechanism	0
cognitive_model	0
cognitive_process	0
cognitive_psychology	0
cognitive_resource	0
cognitive_resource_theory	0
cognitive_skill	0
cognitive_social	0
cognitive_structure	0
coherence	0
cohesion	0
cohesion_performance	0
cohesive_group	0
cohesive_workgroup	0
collaboration	0
collaborative_work	0
collaborator	0
collective_approach	0
collective_concern	0
collective_efficacy	0
collective_effort	0
collective_good	0
collective_identity	0
collective_interest	0
collective_level	0
collective_level_identity	0
collective_mission	0
collective_resource	0
collective_responsibility	0
collective_sense	0
collective_sensemaking	0
collective_social	0
collective_team	0
collectivism	0
collectivist	0
collectivist_approach	0
collectivist_culture	0
collectivist_society	0
collectivity	0
college_student	0
collegial	0
collegiality	0
combat_condition	0
combination_high	0
combination_low	0
combination_strength	0
command_control	0
commander	0
commitment_benefit	0
commitment_change	0
commitment_congruent	0
commitment_developmental	0
commitment_follower	0
commitment_higher	0
commitment_job	0
commitment_leader	0
commitment_motivation	0
commitment_organizational	0
commitment_personal	0
commitment_productivity	0
commitment_safety	0
commitment_satisfaction	0
commitment_specific	0
common_approach	0
common_denominator	0
common_dimension	0
common_element	0
common_experience	0
common_factor	0
common_fate	0
common_good	0
common_ground	0
common_interpretation	0
common_language	0
common_method	0
common_practice	0
common_source	0
common_source_bias	0
common_variance	0
commonality	0
commonsense	0
communal	0
communicate_approach	0
communication_channel	0
communication_high	0
communication_medium	0
communication_reinforcement	0
communication_skill	0
communication_strategy	0
communication_style	0
communication_tactic	0
communication_team	0
communicator	0
community_focus	0
community_member	0
community_practice	0
community_value	0
comparative_context	0
comparison_match	0
comparison_younger	0
compatibility	0
compelling_approach	0
compelling_argument	0
compelling_direction	0
competence_combination	0
competence_confidence	0
competence_high_commitment	0
competence_self_determination	0
competence_variable	0
competency	0
competitive_innovative	0
competitive_priority	0
complementary_approach	0
complete_task	0
complete_understanding	0
complete_work	0
completeness	0
completion_task	0
complex_business	0
complex_decision_make	0
complex_domain	0
complex_environment	0
complex_interaction	0
complex_interdependent	0
complex_interplay	0
complex_organization	0
complex_phenomena	0
complex_problem	0
complex_system_governance	0
complex_systems	0
complexity_leadership	0
complexity_manager	0
complexity_theory	0
complexity_uncertainty	0
compliance_influence	0
compliance_leader	0
compliant	0
component_authentic_leadership_theory	0
component_behavior	0
component_charismatic_leadership_theory	0
component_group_identity	0
component_model	0
component_procedural	0
component_self_concept	0
composite_measure	0
compositional_model	0
compositional_process	0
comprehensive_analysis	0
comprehensive_integrative	0
comprehensive_model	0
comprehensive_review	0
comprehensive_study	0
comprehensive_test	0
comprehensive_theoretical	0
comprehensive_theory	0
comprehensive_understanding	0
comprehensiveness	0
concept_authentic_leadership_theory	0
concept_authenticity	0
concept_charismatic_leadership_theory	0
concept_safety	0
concept_stress	0
concept_transformational_leadership_theory	0
conception_authentic_leadership_theory	0
conception_charismatic_leadership_theory	0
conception_leadership	0
conceptual	0
conceptual_approach	0
conceptual_argument	0
conceptual_capacity	0
conceptual_definition	0
conceptual_difference	0
conceptual_distinction	0
conceptual_empirical	0
conceptual_framework	0
conceptual_language	0
conceptual_level	0
conceptual_link	0
conceptual_methodological	0
conceptual_overlap	0
conceptual_scheme	0
conceptual_similarity	0
conceptual_weakness	0
conceptual_work	0
conceptualisation	0
conceptualise	0
conceptualization	0
conceptualization_charismatic_leadership_theory	0
conceptualization_leadership	0
conceptualization_measurement	0
conceptualize	0
concern_employee	0
concern_follower	0
concern_group	0
concern_people	0
concern_production	0
concern_subordinate	0
concern_welfare	0
concerned_charismatic_leadership_theory	0
concerned_group	0
concerned_individual	0
concerned_relationship	0
concreteness	0
condition_high	0
condition_low	0
condition_participant	0
condition_safety	0
conditional_layer	0
conducive	0
conduct_analysis	0
conduct_context	0
conduct_empirical	0
conduct_field	0
conduct_laboratory	0
confederate	0
confederate_leader	0
confidence_ability	0
confidence_follower	0
confidence_level	0
confidence_motivation	0
confidence_subordinate	0
configurational	0
conflict_evidence	0
conflict_finding	0
conflict_resolution	0
conflict_situation	0
conformist	0
confucian	0
confucian_value	0
confucianism	0
conger_kanungo	0
conger_kanungo_scale	0
conger_kanungo_theory	0
congruence	0
congruence_leader_follower	0
congruency	0
congruent	0
congruent_follower	0
congruent_leader	0
congruent_leadership	0
connection_follower	0
connectionist	0
conscience	0
conscientious	0
conscientious_individual	0
conscientious_leader	0
conscientiousness	0
conscientiousness_openness	0
conscientiousness_related	0
consensual	0
consequential	0
conservation_resource	0
conservation_value	0
considerable_attention	0
considerable_effort	0
considerable_empirical	0
considerable_evidence	0
considerable_extent	0
considerable_influence	0
considerable_overlap	0
considerable_personal	0
considerable_time	0
considerate_behavior	0
considerate_structuring	0
considerate_supportive	0
consideration_concern	0
consideration_degree	0
consideration_initiate	0
consideration_initiate_structure	0
consideration_leadership	0
consideration_measure	0
consideration_participation	0
consideration_satisfaction	0
consideration_structure	0
consideration_subordinate	0
consistent_behavior	0
construction_followership	0
construction_leadership	0
construction_reality	0
constructionism	0
constructive_criticism	0
constructive_feedback	0
constructive_leadership	0
constructive_transaction	0
consultation_subordinate	0
consultation_tactic	0
consultative_leadership	0
consultative_participative	0
consultative_style	0
contact_member	0
contact_organization	0
contact_people	0
contemporary	0
contemporary_approach	0
contemporary_leadership	0
contemporary_organization	0
contemporary_theory	0
context_corporate	0
context_factor	0
context_influence	0
context_innovation	0
context_knowledge	0
context_leadership	0
context_small	0
context_specific	0
contexts	0
contextual	0
contextual_accuracy	0
contextual_characteristic	0
contextual_condition	0
contextual_factor	0
contextual_influence	0
contextual_performance	0
contextual_timely	0
contextual_variable	0
contextualize	0
contingency_factor	0
contingency_paradigm	0
contingency_process	0
contingency_variable	0
contingent_punishment	0
contingent_reinforcement	0
contingent_reward	0
continuance_commitment	0
continuity_leadership	0
continuous_improvement	0
continuous_learning	0
continuous_process	0
contractual_basis	0
contrast_management_exception	0
contrast_power	0
contrast_traditional	0
contrast_transactional_transformational_leadership_model	0
contrast_transformational_leadership_theory	0
control_aspect	0
control_environment	0
control_flow	0
control_function	0
control_mechanism	0
control_moderate	0
control_practice	0
control_responsibility	0
control_reward	0
control_work	0
convergence_process	0
convergence_team	0
convergent_effectiveness_level	0
cooperation_member	0
cooperation_participation	0
cooperation_team	0
cooperative_behavior	0
coordinate_effort	0
coordination_complex	0
core_activity	0
core_business	0
core_competency	0
core_component	0
core_element	0
core_identity	0
core_issue	0
core_job	0
core_micro_strategy	0
core_network	0
core_principle	0
core_self_evaluation	0
core_transformational	0
corporate_business	0
corporate_culture	0
corporate_ethic	0
corporate_reputation	0
corporate_social_responsibility	0
cost_benefit	0
cost_interaction	0
cost_performance	0
cost_reduction	0
cost_related	0
counselling	0
counterfactual_reasoning	0
counterintuitive	0
counterproductive_work	0
country_base	0
country_culture	0
country_dimension	0
country_level	0
country_review	0
course_action	0
courtesy_civic	0
crawford	0
creation_application	0
creation_organization	0
creation_process	0
creation_radio	0
creation_theory	0
creative_behavior	0
creative_effort	0
creative_idea	0
creative_innovative	0
creative_marketing	0
creative_problem_solving	0
creative_process	0
creative_solution	0
creative_work	0
creativity	0
creativity_follower	0
creativity_in_group	0
creativity_innovation	0
creativity_innovative	0
creativity_organization	0
creativity_relevant_group	0
credential	0
crisis_situation	0
criterion_decision	0
criterion_measure	0
criterion_related	0
critical_analysis	0
critical_aspect	0
critical_component	0
critical_effective	0
critical_element	0
critical_evaluation	0
critical_factor	0
critical_feedback	0
critical_incident	0
critical_issue	0
critical_point	0
critical_question	0
critical_reflection	0
critical_remark	0
critical_resource	0
critical_review	0
critical_role	0
critical_success	0
critical_understanding	0
critical_variable	0
critique	0
critique_theory	0
cross_cultural	0
cross_cultural_difference	0
cross_cultural_leadership	0
cross_cultural_study	0
cross_functional	0
cross_functional_team	0
cross_level_interaction	0
cross_level_model	0
cross_national	0
cross_national_context	0
cross_national_difference	0
cross_sectional	0
cross_sectional_data	0
cross_sectional_design	0
cross_sectional_study	0
cross_validation	0
cultural_approach	0
cultural_background	0
cultural_context	0
cultural_contexts	0
cultural_dimension	0
cultural_element	0
cultural_factor	0
cultural_historical	0
cultural_map	0
cultural_norm	0
cultural_religious	0
cultural_root	0
cultural_social	0
cultural_standard	0
cultural_typology	0
cultural_value	0
culture_change	0
culture_climate	0
culture_concept	0
culture_country	0
culture_dimension	0
culture_employee	0
culture_hierarchical	0
culture_level	0
culture_link	0
culture_related	0
culture_safety	0
culture_situational	0
culture_specific	0
curiosity	0
customer_focus	0
customer_outcome	0
customer_relationship	0
customer_retention	0
cynefin_approach	0
cynefin_framework	0
cynicism	0
cynicism_intention	0
dansereau_yammarino	0
dark_charismatic_leadership_theory	0
david_mcclelland	0
deal_crisis	0
decentralization	0
decentralize	0
decentralize_human	0
decision_base	0
decision_choice	0
decision_commitment	0
decision_criterion	0
decision_latitude	0
decision_make	0
decision_make_autonomy	0
decision_make_performance	0
decision_make_problem_solving	0
decision_make_process	0
decision_make_style	0
decision_make_task	0
decision_need	0
decision_outcome	0
decision_participation	0
decision_quality	0
decision_quality_decision	0
decision_readiness	0
decision_responsibility	0
decision_rule	0
decision_situation	0
decision_style	0
decision_support	0
decision_tree	0
decision_verifiability	0
decisiveness	0
decrease_negative	0
decrease_performance	0
decrease_subordinate	0
dedication	0
deep_commitment	0
deep_sense	0
deeper_understanding	0
defensible	0
deference	0
define_model	0
define_role	0
define_task	0
definition_authentic_leadership_theory	0
definition_charismatic_leadership_theory	0
definition_creativity	0
definition_leadership	0
definition_state	0
definition_stress	0
definition_transformational_leadership_theory	0
degree_autonomy	0
degree_centrality	0
degree_closeness	0
degree_confidence	0
degree_content	0
degree_groupness	0
degree_individual	0
degree_innovation	0
degree_job	0
degree_overlap	0
degree_participative	0
degree_people	0
degree_principal	0
degree_team	0
degree_time	0
delegate_active	0
delegate_authority	0
delegate_behavior	0
delegate_follower	0
delegate_leadership	0
delegate_responsibility	0
delegate_style	0
delegate_task	0
delegating	0
delegation_responsibility	0
deleterious_organizational_outcome	0
deliberation_phase	0
demand_constraint	0
demand_increase	0
demand_resource	0
democratic_autocratic	0
demographic	0
demographic_background	0
demographic_characteristic	0
demographic_dissimilarity	0
demographic_diversity	0
demographic_factor	0
demographic_heterogeneity	0
demographic_homogeneity	0
demographic_informational	0
demographic_similarity	0
demographic_variable	0
demography_variable	0
demonstration_appropriate	0
dental_education	0
dental_educator	0
dental_school	0
dental_student	0
department_chairperson	0
department_employee	0
department_organization	0
departmental	0
dependability	0
dependence_leader	0
dependency_leader	0
depersonalization	0
depersonalize	0
depersonalize_leader_member	0
depersonalize_leadership	0
depersonalize_style	0
deplete_leader	0
depletion_antecedent	0
depletion_transformational_leadership_theory	0
depressive	0
depressive_symptom	0
depth_psychology	0
description	0
description_close	0
description_distant	0
description_questionnaire_item	0
description_questionnaire_measure	0
description_questionnaire_ohio	0
descriptive	0
descriptive_study	0
descriptor	0
desirable_characteristic	0
desirable_future	0
desirable_outcome	0
desire_autonomy	0
desire_behavior	0
desire_firm	0
desire_future	0
desire_increase	0
desire_outcome	0
desire_result	0
desire_state	0
destabileze_influence	0
destructive_leader	0
destructive_leadership	0
destructive_leadership_model	0
determinant	0
determinant_corporate	0
determinant_organizational	0
detrimental_organizational_outcome	0
develop_follower	0
develop_leader	0
development_approach	0
development_authentic	0
development_authentic_leadership_theory	0
development_comprehensive	0
development_field	0
development_follower	0
development_high_characteristic	0
development_implementation	0
development_initiative	0
development_interpersonal	0
development_leader_member	0
development_level	0
development_maintenance	0
development_process	0
development_project	0
development_psychological	0
development_questionnaire	0
development_team	0
development_testing	0
development_vertical_dyad_linkage_theory	0
developmental_approach	0
developmental_level_four	0
developmental_level_ii	0
developmental_process	0
developmental_supervision	0
deviant_behavior	0
devolve	0
devotion	0
diagnosis	0
dichotomous_measure	0
dictatorial	0
dienesch_liden	0
difference_close	0
difference_country	0
difference_gender	0
difference_life	0
difference_male	0
difference_people	0
difference_perception	0
difference_public	0
