	gram_1	gram_2	gram_3	Freq
3703	individual	leader	focus	4
3704	core	activity	layer	4
3705	approach	examine	skillful	3
3706	implicit	follower	theory	3
3707	change	charismatic_leadership_theory	leader	4
3708	psychological	safety	performance	4
3709	organizational	individual	span	4
3710	self##construal	extend	sense	3
3711	view	leadership	manager##subordinate	3
3712	case	study	design	3
3713	like	people	thrive	3
3714	subordinate	participate	decision##make	5
3715	effectiveness_level	criterion	leader	5
3716	interpersonal	characteristic	leader	14
3717	leader	take	decision	4
3718	theory	leadership	balkundi	3
3719	transmit	sense	mission	3
3720	analysis	leadership	style	3
3721	charismatic_leadership_theory	leader	build	4
3722	facial	masculinity	femininity	3
3723	outside	feasible	set	3
3724	research	question	ii	5
3725	process	influence	social	4
3726	participant	investigate	act	3
3727	focus	short	term	6
3728	leadership	approach	view	3
3729	non##contingent	reward	behavior##subordinate	4
3730	relationship	punitive	leader	3
3731	current	work	trend	3
3732	approach	interpersonal	situation	3
3733	process	emerge	evolve	3
3734	experience	childhood	adolescence	3
3735	present	study	clarify	3
3736	team	leadership	network	4
3737	measurement	data	analysis	11
3738	relationship	leadership	behavior	5
3739	psychological	process	involve	3
3740	exist	group	norm	3
3741	force	work	influence	5
3742	scholar	adopt	focus	3
3743	base	consultative	interaction	3
3744	clarity	intellectual	stimulation	4
3745	satisfaction	task	identify	3
3746	close	leadership	situation	15
3747	demand	low	job	6
3748	culture	barley	structurationist	3
3749	reorganization	manager	decide	3
3750	organizational_outcome	employee	organization	3
3751	organized	work	condition	3
3752	systems	outcomes	research	4
3753	number	study	support	3
3754	process	radio	frequency	3
3755	consider	leader##follower	interdependent	3
3756	critical	incident	interview	4
3757	social	psychological	literature	3
3758	state	university	call	4
3759	implementation	enterprise	resource	4
3760	ii	literature	review	4
3761	problematic	nature	self##rating	4
3762	approach	leadership	behavior	3
3763	result	depersonalize	sense	3
3764	self##categorization	depersonalization	propose	3
3765	psychological	mindedness	program	5
3766	social	identification	group	3
3767	leader	characterize	leader	3
3768	leader	behavior	state	3
3769	broader	range	relational	3
3770	work	environment	theory	5
3771	produce	approach	restrict	3
3772	commitment	leader	approach	4
3773	strong	need	power	3
3774	leadership	individual	difference	3
3775	represent	view	leadership	4
3776	perception	human	resource	7
3777	setting	take	relational	3
3778	notion	swedish	leadership	3
3779	employee	outcome	study	4
3780	attempt	raise	approach	3
3781	characteristic	relational	tie	3
3782	sufficient	condition	transformational_leadership_theory	3
3783	conscientious	individual	tend	4
3784	person##oriented	leader	behavior	3
3785	theory	organizational	leadership	4
3786	questionnaire	request	respondent	3
3787	lord	explore	issue	3
3788	process	relational	dialogue	3
3789	intention	leave	job	3
3790	fiedlers	prefer	co##worker	3
3791	promote	teacher	leadership	3
3792	framework	organization	direct	3
3793	intrapersonal	process	actor	3
3794	lead	development	cognitive_resource_theory	3
3795	contingent	reward	degree	3
3796	study	focus	role	4
3797	leader	work	follower	4
3798	approach	status	quo	3
3799	expert	knowledge	information	11
3800	enhance	occupational	safety	3
3801	subject	individual	object	3
3802	control	develop	basis	3
3803	mediate	team	potency	3
3804	linguistic	pragmatic	include	3
3805	react	leader	charismatic_leadership_theory	4
3806	combine	general	knowledge	3
3807	motivated	instrumental	affective	3
3808	leader	effectiveness_level	trait	4
3809	consistent	caregiver	responsiveness	3
3810	high	developmental	level	3
3811	vertical_dyad_linkage_theory	dyad	introduce	3
3812	leader	behavior	assert	5
3813	employee	develop	manager	3
3814	structuring	interaction	relationship	4
3815	bien	central	concept	3
3816	competence	commitment	higher	6
3817	change	commitment	change	6
3818	expectation	confidence	follower	4
3819	term	leadership	network	3
3820	effective	leader	display	3
3821	behavioral	response	finding	3
3822	empirical	evidence	link	6
3823	reality	include	social	3
3824	ability	willingness	supervisee	3
3825	relationship##oriented	task##oriented	leadership	11
3826	leadership	behavior	leader	13
3827	leadership	emergence	development	3
3828	role	relational	skill	3
3829	stress	management	programme	3
3830	leader	result	interaction	3
3831	stress	similarity	follower	3
3832	shape	follower	commitment	3
3833	self##awareness	relational	transparency	3
3834	outcome	vertical_dyad_linkage_theory	entity	3
3835	base	measure	leader	3
3836	leadership	theory	thematic	3
3837	relationship	develop	unfold	3
3838	leadership	job	satisfaction	4
3839	case	study	sue	3
3840	follower	high##characteristic	vertical_dyad_linkage_theory	4
3841	model	leader	trait##behavior	8
3842	neutralize	enhance	organizational_outcome	4
3843	leadership	job	performance	3
3844	position	power	task	3
3845	team	task	team	3
3846	long	term	concern	3
3847	leadership	behavior	exchange	3
3848	dilemma	open	group	3
3849	purpose	leader	compete	3
3850	identify	gap	literature	3
3851	team	leader	senior	3
3852	focus	leadership	development	4
3853	organization	organizational_outcome	value	4
3854	moderate	tash	maturity	3
3855	level	organizational	transformation	8
3856	leadership	modify	form	3
3857	reality	ontological	organizational_outcome	3
3858	interpersonal	evaluation	individual	3
3859	intention	quit	organization	3
3860	faith	altruistic	love	4
3861	medium	social	construction	3
3862	brewer	gardner	interpersonal	3
3863	government	military	setting	4
3864	leader	behavior	predictor	9
3865	follower	self##assessment	competence	3
3866	approach	consistent	drath	3
3867	dedication	tyranny	charismatic_leadership_theory	3
3868	group	emerge	proceed	3
3869	follower	identify	emulate	3
3870	result	characterize	strong	3
3871	individual	leader	effectiveness_level	4
3872	specific	style	trait	4
3873	expect	positive	relationship	4
3874	social	structure	open	3
3875	discourse	problematize	leadership	3
3876	information	attribution_theory_leadership	schema	3
3877	result	everyday	practice	3
3878	theory	stakeholder	theory	4
3879	follower	mental	health	3
3880	effectiveness_level	study	focus	5
3881	leadership	approach	such	3
3882	moderate	organizational_outcome	relationship	3
3883	contextual	factor	influence	9
3884	understanding	leadership	phenomena	5
3885	organizational_outcome	expect	behavior	4
3886	situational	contextual	factor	4
3887	leadership	style	display	4
3888	develop	basis	generate	3
3889	take	relational	approach	4
3890	leader	affect	organizational	4
3891	safety	climate	predictor	3
3892	communication	medium	social	3
3893	ideological	pragmatic	leadership	9
3894	job	satisfaction	influence	3
3895	hierarchy	herzbergs	factor	3
3896	relationship##oriented	enhance	understanding	3
3897	psychology	behavioral	genetics	3
3898	affective	relational	element	4
3899	relationship	relational	demography	3
3900	creativity	measure	divergent	3
3901	leadership	organizing	key	3
3902	leadership	questionnaire	problem	3
3903	characteristic	self##collective	interest	3
3904	charismatic_leadership_theory	leader	appeal	3
3905	influence	process	individual	6
3906	carry	out	task	6
3907	category	include	article	8
3908	number	in##depth	snapshot	3
3909	questionnaire	measure	leadership	6
3910	occupy	managerial	role	3
3911	make	entity	approach	3
3912	service	climate	situational	3
3913	performance	total	characteristic	17
3914	characteristic	effective	leader	3
3915	consultative	form	participative	3
3916	model	store	memory	3
3917	person	relational	exchange	3
3918	condition	transformational_leadership_theory	effective	3
3919	studies	leader	behavior	14
3920	test	situational_contingency_theory	prediction	4
3921	include	organization	type	3
3922	traditional	problem	focus	3
3923	resuscitation	unit	leadership	3
3924	ethical	culture	unit	4
3925	originality	group	efficacy	4
3926	process	maker	process	3
3927	basis	interpret	behavior	3
3928	self##identity	emanate	relationship	3
3929	differential	relationship	leadership	3
3930	transactional_transformational_leadership_model	behavior	transformational_leadership_theory	4
3931	leader	stress	leadership	3
3932	leadership	theory	require	3
3933	interaction	analysis	semiotics	3
3934	taxonomy	friendship	network	3
3935	group	member	identify	10
3936	responsibility	firm	reputation	12
3937	leadership	style	directive	6
3938	examine	relationship	individual	3
3939	in##group	outgroup	model	3
3940	develop	exchange	relationship	3
3941	hope	contribute	create	3
3942	safety	culture	exist	3
3943	relationship	process	interdependency	3
3944	theory	theory	leadership	3
3945	group	organizational	process	4
3946	relational	ontology	entity	3
3947	depersonalization	produce	normative	3
3948	supportiveness	leader	directiveness	4
3949	transformational_leadership_theory	effective	leadership	3
3950	gender	public	relation	3
3951	value	identity	follower	3
3952	oriented	leader	behavior	11
3953	relational	situation	higher	3
3954	leader	ability	influence	9
3955	form	function	dynamic	4
3956	hand	house	explain	3
3957	share	team	member	9
3958	model	leadership	behavior	17
3959	ethical_leadership_theory	squad	ethical	3
3960	interdependency	organize	way	3
3961	performance	outcome	leader	4
3962	dilemma	group	member	3
3963	procedural	justice	organizational	6
3964	behavior	characteristic	individual	4
3965	interview	base	methodology	3
3966	heart	variable	interest	3
3967	equatorial	guinea	democratic	4
3968	phenomena	attend	multiple	3
3969	male	female	leader	20
3970	group	member	share	3
3971	process	include	susceptibility	3
3972	examine	participative	directive	3
3973	hosking	identify	leadership	3
3974	group	leader	exist	3
3975	measure	consideration##initiate	structure##consideration	3
3976	decision	prior	approval	3
3977	long	history	leadership	3
3978	job	context	leadership	4
3979	hollander	leadership	share	3
3980	transformational_leadership_theory	substitute	transactional_transformational_leadership_model	3
3981	process	accomplish	objective	4
3982	phase	charismatic_leadership_theory	leader	7
3983	claim	transformational	leader	3
3984	work	experience	employee	3
3985	emergence	effectiveness_level	leader	4
3986	relational##entity	approach	relational	3
3987	complex	system	include	3
3988	leadership	questionnaire	result	3
3989	behavior	study	conduct	3
3990	focus	manager##subordinate	relationship	3
3991	organizational	citizenship	behaviour	6
3992	social	order	term	3
3993	manager	hong	kong	3
3994	critical	supportive	remark	3
3995	transformational_leadership_theory	link	follower	3
3996	leader	behave	subordinate	4
3997	creativity	electronic	meeting	3
3998	correlation	objective	measure	3
3999	effective	result	basic	3
4000	study	research	examine	3
4001	tenet	connectionist	model	4
4002	focus	property	behavior	3
4003	relational	phenomena	relationship	3
4004	addition	transformational	leader	4
4005	distinction	lead	reflect	3
4006	difference	student	outcome	4
4007	questionnaire	yukl	managerial	4
4008	organizational_outcome	exert	effort	4
4009	see	leadership	influence	3
4010	true	transformational	leader	8
4011	dichotomy	advocate	approach	3
4012	process	specific	content	3
4013	task	performance	contrast	3
4014	job	follower	produce	6
4015	leader	behavior	empirical	3
4016	leader	collaborator	circumstance	3
4017	independent	discrete	entity	3
4018	group	membership	group	7
4019	feel	obligation	job	4
4020	decision##make	participant	conclude	3
4021	influence	characteristic	idealize	3
4022	structurationist	analysis	combine	3
4023	degree	leader	articulate	3
4024	leadership	occur	relational	3
4025	sense	respect	array	3
4026	type	charismatic_leadership_theory	leader	5
4027	role	drive	organizational	3
4028	collaborator	organization	purpose	3
4029	organizational	reward	system	3
4030	extent	appeal	aesthetic	3
4031	team	member	feeling	4
4032	function	leader	trait##behavior	3
4033	female	gender	role	13
4034	leadership	style	term	5
4035	independent	variable	intervene	3
4036	explore	researcher	organizational	3
4037	mean	relationship	differ	3
4038	role	conflict	role	9
4039	relational##collective	relational	self##construal	3
4040	negative	subordinate	response	3
4041	entity	constructionist	relational	3
4042	develop	share	approach	5
4043	passive	management##exception	leader	3
4044	play	role	organizational	3
4045	idealize	influence	behavior	11
4046	principle	ethical	stewardship	5
4047	emergence	leadership	social	3
4048	support	behavior	organizational_outcome	3
4049	team	life	cycle	3
4050	area	adopt	methodology	3
4051	examine	leadership	behavior	3
4052	problem	structure	group	5
4053	leader	effective	leadership	5
4054	differ	individual	encounter	3
4055	leadership	leader	effectiveness_level	3
4056	consider	approach	entity	3
4057	develop	leadership	theory	5
4058	directive	control	non##directive	6
4059	bring	out	people	3
4060	explicit	milestone	convert	3
4061	function	leadership	contrary	3
4062	analysis	data	apply	4
4063	notion	leader	behavior	3
4064	leader	participant	relationship	3
4065	characteristic	interpersonal	relationship	7
4066	leadership	formal	managerial	3
4067	soil	conservation	technique	4
4068	social	psychological	process	10
4069	reward	participation	cooperation	5
4070	relationship	interpersonal	relationship	3
4071	lord	maher	suggest	4
4072	team	member	work	7
4073	work	attitude	behavior	3
4074	management##exception	laissez##faire	leadership	5
4075	spend	considerable	time	6
4076	university	factor	model	4
4077	social	work	education	4
4078	leadership	human	resource	3
4079	role	model	employee	3
4080	approach	team	member	4
4081	status	quo	role	3
4082	member	achieve	approach	3
4083	control	communication	integration	5
4084	behavior	effective	leadership	5
4085	relationship	transformational_leadership_theory	organizational	6
4086	university	program	reflect	3
4087	leader	link	follower	5
4088	follower	communication	reinforcement	4
4089	level##analysis	target	evaluation	4
4090	meet	exchange	enactment	3
4091	four	communication	area	3
4092	negotiate	accept	implement	4
4093	behavior	taxonomy	include	3
4094	public	manager	job	3
4095	scale	multifactor	leadership	10
4096	leadership	effectiveness_level	second	4
4097	study	causal	direction	3
4098	destabileze	influence	autocratic	4
4099	characteristic	stewardship	theory	3
4100	traditional	leadership	examine	3
4101	relationship	leadership	dimension	3
4102	empirical	evidence	effectiveness_level	3
4103	third	category	leader	4
4104	effective	leader	style	3
4105	approach	relational	constructionism	4
4106	investigate	role	attachment	3
4107	subsequent	vertical_dyad_linkage_theory	characteristic	8
4108	complex	systems	framework	4
4109	involved	attach	organization	3
4110	measure	team	innovativeness	3
4111	self##efficacy	interpersonal	help	3
4112	leadership	style	variable	3
4113	value	theory	sense	4
4114	leader	role	clarification	3
4115	aggregate	result	study	3
4116	sense	understand	term	3
4117	order	negotiate	accept	4
4118	motivate	group	member	3
4119	relationship	organization	process	3
4120	counterproductive	work	behavior	8
4121	low	ability	willingness	3
4122	interest	follower	self##interest	3
4123	positive	face	autonomy	4
4124	factor	leader	behavior	4
4125	organizational##level	dynamic	congruency	3
4126	perception	leadership	effectiveness_level	14
4127	consideration	structuring	behavior	3
4128	creativity	innovation	outcome	3
4129	charismatic_leadership_theory	leader	increase	12
4130	leader	perception	charismatic_leadership_theory	3
4131	study	artificial	group	3
4132	paradigm	leadership	theory	3
4133	assume	objective	reality	3
4134	theme	emerge	entity	3
4135	member	perceive	leader	5
4136	consider	relative	illuminate	3
4137	organizational	commitment	empowerment	5
4138	leadership	contribute	process	3
4139	performance	work	unit	6
4140	collective	self	precede	3
4141	relationship	context	relationship	3
4142	organizational_outcome	transformational_leadership_theory	organizational	3
4143	student	outcome	measure	3
4144	distribute	social	field	3
4145	behavior	leader	provide	3
4146	interact	relation	contexts	3
4147	study	examine	linkage	3
4148	symbolic	emotion	laden	4
4149	behavior	follower	readiness	3
4150	aim	examine	effectiveness_level	4
4151	legitimize	influence	form	3
4152	struggle	psychological	safety	4
4153	decision_quality	outcome	directiveness	3
4154	personal	identification	leader	14
4155	leader	effectiveness_level	group	7
4156	low	internal	locus	4
4157	leadership	style	style	3
4158	theory	charismatic_leadership_theory	transformational_leadership_theory	7
4159	spirituality	spiritual	survival	3
4160	relation	theory	causal	3
4161	behavior	leadership	behavior	3
4162	accident	emergency	department	3
4163	implicit	theory	relationship	4
4164	colleague	call	change	3
4165	behavioral	expectation	direct	3
4166	range	task	relevant	6
4167	leader	espouse	value	5
4168	collective	self	develop	3
4169	classification	leadership	approach	7
4170	safety	participation	mediate	3
4171	explore	role	leadership	3
4172	charge	nurse	role	10
4173	relation	style	leadership	4
4174	structure	routine	relationship##oriented	3
4175	study	corporate	social	5
4176	component	influence##base	leadership	13
4177	thinking	skill	expertise	3
4178	ethical	moral	leadership	4
4179	formal	work	unit	4
4180	stimulation	elevation	convert	3
4181	study	lean	leadership	5
4182	perform	internal	cognitive	3
4183	reality	structure	dynamic	3
4184	alive	relation	sex	3
4185	study	relationship##oriented	combine	3
4186	procedural	distributive	justice	14
4187	entity	approach	include	3
4188	relationship	broader	context	3
4189	business	unit	organization	4
4190	category	empower	leadership	3
4191	job	satisfaction	commitment	21
4192	serve	connection	model	3
4193	person	understand	know	3
4194	managerial	job	behaviour	7
4195	organizational_outcome	team	performance	3
4196	relationship	comprise	organization	3
4197	approach	leadership	develop	3
4198	dynamic	examination	relational	3
4199	role	motivational	leader	3
4200	romance	leadership	approach	7
4201	organizational_outcome	employee	affective	4
4202	theoretical	empirical	work	6
4203	supportive	work	environment	8
4204	changing	nothing	less	3
4205	focal	firm	supply	3
4206	aditya	point	out	3
4207	transformational_leadership_theory	affective	organizational	6
4208	function	interact	model	3
4209	negate	leader	ability	3
4210	relationship	intend	reflect	3
4211	collective	team	identification	23
4212	product	development	project	5
4213	multilevel	approach	leadership	3
4214	female	male	leader	8
4215	attach	individual	tend	3
4216	practical	difference	approach	3
4217	centrality	closeness	centrality	4
4218	group	potency	predict	3
4219	knowledge	management	skill	4
4220	factor	analysis	support	4
4221	relational	leadership	i	6
4222	decision##make	process	enhance	3
4223	support	lord	mahers	4
4224	individual	theory	capability	3
4225	organizational	commitment	participative	3
4226	relationship	basis	property	3
4227	autonomy	private	manager	3
4228	traditional	leadercentric	model	3
4229	assess	maturity	level	3
4230	allied	publisher	article	6
4231	trigger	positive	model	3
4232	call	entity	approach	3
4233	man	woman	occupy	6
4234	compete	leader	collaborator	3
4235	term	male	female	3
4236	role	social	identity	3
4237	effectiveness_level	consideration##initiate	structure##consideration	4
4238	work	environment	experience	3
4239	conclusion	draw	discussion	4
4240	leadership	public	private	3
4241	consistent	electronic	brainstorming	3
4242	leader	behavior	situation	3
4243	organizing	theme	leadership	3
4244	teacher	leadership	student	3
4245	negotiate	process	decision##make	3
4246	assessment	indicator	questionnaire	3
4247	role	clarity	supervisory	3
4248	leader	engage	emotional	3
4249	leadership	trust	leadership	3
4250	scholar	observer	recognize	3
4251	safety	behaviour	measure	3
4252	criterion	focus	leader	4
4253	short	long	term	3
4254	process	personal	characteristic	3
4255	empowerment	identification	leader	3
4256	cultural	historical	contexts	4
4257	influence	employee	value	3
4258	maker	process	article	3
4259	demographic	homogeneity	group	3
4260	organizational	hierarchical	culture	3
4261	identification	imply	psychological	3
4262	transformational##transactional	laissez##faire	style	3
4263	job	demand	high	3
4264	job	complexity	manager	4
4265	homogeneity	group	agreement	3
4266	fulfill	competitive	collaborative	3
4267	increase	organizational	citizenship	3
4268	product	development	team	46
4269	leader	effective	leader	15
4270	low##characteristic	vertical_dyad_linkage_theory	relationship	11
4271	leadership	organizational	dynamics	4
4272	health	care	organization	8
4273	resource	value	interest	3
4274	relational	stem	relationship	3
4275	power	struggle	low	6
4276	style	appropriate	level	3
4277	align	team	member	3
4278	participant	conclude	status	3
4279	initiate	structure	leadership	51
4280	measure	leadership	measure	5
4281	level	morality	motivation	4
4282	component	leader##follower_theory	leader	4
4283	work	characteristic	index	3
4284	relationship	leadership	burnout	3
4285	leader	choose	authority	3
4286	turn	outcome	charismatic_leadership_theory	3
4287	association	safety	participation	3
4288	business	scope	redefinition	3
4289	exist	leadership	style	4
4290	identify	authentic	leader	3
4291	mind	ehrlich	dukerich	4
4292	leader	network	leader	7
4293	remain	feasible	set	4
4294	standpoint	individual	make	3
4295	prevail	construct	notion	3
4296	leadership	assume	relevant	3
4297	influence	people##group	know	3
4298	influence	attempt	distribution	3
4299	leadership	social	psychological	4
4300	instructional	management	rating	3
4301	function	leadership	style	3
4302	principle	understanding	interaction	3
4303	outcome	charismatic_leadership_theory	leader	4
4304	behavior	effective	leader	6
4305	consideration	component	transformational_leadership_theory	3
4306	higher	level	transformational_leadership_theory	4
4307	produce	social	interaction	3
4308	relationship	work	force	3
4309	change	structure	intentional	3
4310	exert	moderate	influence	3
4311	personal	characteristic	individual	5
4312	span	empowerment	transformational_leadership_theory	3
4313	influence	turnover	intention	3
4314	emphasis	collective	identity	3
4315	makeup	remains	dispose	3
4316	genuine	equality	woman	3
4317	mind	issue	reveal	3
4318	abusive	supervision	abusive	3
4319	loafing	arise	out	3
4320	study	link	leadership	4
4321	friendship	mutual	trust	3
4322	private	manager	leadership	3
4323	team	performance	leader	3
4324	predictor	job	satisfaction	7
4325	triad	form	exist	3
4326	mindedness	type	leadership	14
4327	higher	performance	level	3
4328	predictor	job	performance	3
4329	relational	leadership	view	3
4330	present	study	relationship	4
4331	group	member	leader	8
4332	job	characteristic	job	3
4333	limit	believe	people	3
4334	internal	working	model	7
4335	negative	relationship	leader	4
4336	yield	inconclusive	evidence	3
4337	scale	create	measure	3
4338	cognition	mind	leader	6
4339	follower	characteristic	extraordinary	3
4340	strong	safety	culture	4
4341	behavior	relationship##oriented	task	4
4342	display	positive	emotion	5
4343	follower	ability	meet	6
4344	procedural	justice	trust	3
4345	position	school	social	4
4346	potential	boundary	condition	3
4347	data	analysis	inference	10
4348	behavioral	attitudinal	outcome	3
4349	follower	secure	leader	3
4350	positive	affect	negative	4
4351	leadership	individualize	consideration	3
4352	organizational	learning	literature	3
4353	idealize	influence	dimension	5
4354	leadership	style	member	9
4355	leadership	occur	managerial	3
4356	follower	characteristic	task	6
4357	diary	comparative	case	4
4358	transformational_leadership_theory	influence	follower	4
4359	emotional	climate	classroom	6
4360	leadership	style	individual	4
4361	cross##sectional	design	study	3
4362	higher	perform	school	9
4363	demonstrate	benefit	leadership	3
4364	frequency	identification	sticker	3
4365	task	behavior	follower	3
4366	behavior	criterion	variable	4
4367	average	team	member	3
4368	interpersonal	relationship	build	3
4369	outcome	focus	leader	3
4370	control	common	method	4
4371	alternative	theoretical	approach	3
4372	reflect	integrity	ability	4
4373	apply	strategic	human	3
4374	four	developmental	level	9
4375	provide	feedback	hersey##blanchard_situational_leadership_model	4
4376	expect	autocratic	leadership	3
4377	focus	leadership	shift	3
4378	vertical_dyad_linkage_theory	outcome	variable	3
4379	intellectual	stimulation	individual	8
4380	construct	manifest	four	3
4381	share	mental	model	9
4382	share	network	leadership	4
4383	occur	person	engage	4
4384	laden	leader	signal	4
4385	moral	ethical	characteristic	3
4386	cognitive	structure	leadership	6
4387	espouse	theory	value	3
4388	era	place	do	3
4389	leadership	style	participative	3
4390	individual	object	relationship	3
4391	model	intrinsic	motivation	4
4392	contents	knowledge	view	3
4393	relation	model	activate	3
4394	hierarchical	level	leader	5
4395	task	organizational	factor	3
4396	electronic	brainstorming	context	3
4397	issue	transference	leader##follower_theory	3
4398	non##charismatic_leadership_theory	leader	phase	5
4399	process	unfold	time	3
4400	large	number	study	7
4401	physical	fitness	build	3
4402	leader	emotional	appeal	3
4403	positive	organizational_outcome	individual	3
4404	classify	leadership	approach	3
4405	space	include	diverse	3
4406	phase	enterprise	resource	3
4407	process	local	historical	3
4408	technical	competence	perception	6
4409	influence	perceive	technology	4
4410	provide	support	proposition	3
4411	principle	client	self##determination	3
4412	contribution	group	member	4
4413	integrate	science	leadership	5
4414	platow	van	knippenberg	5
4415	leader	work	self##concept	5
4416	behavior	emphasize	collective	4
4417	self##collective	interest	heart	3
4418	key	role	network	3
4419	dyadic	subassembly	approach	3
4420	leadership	theory	article	5
4421	preference	leader	behavior	3
4422	team	vertical_dyad_linkage_theory	characteristic	6
4423	focus	relational	process	3
4424	style	transactional	transformational	3
4425	propose	charismatic_leadership_theory	behavior	4
4426	vertical_dyad_linkage_theory	leadership	occur	3
4427	affect	learn	knowledge	3
4428	people	thrive	relationship	3
4429	advance	knowledge	relational	3
4430	study	examine	organizational_outcome	24
4431	personal##relationship	member	identification	3
4432	rhetorical	literary	study	3
4433	behavior	related	effectiveness_level	4
4434	content	nature	relation	3
4435	level	concern	member	3
4436	present	study	demonstrate	3
4437	social	work	administrator	6
4438	follower	anticipate	leader	3
4439	role	model	theory	3
4440	leadership	construct	criterion	4
4441	vertical_dyad_linkage_theory	relationship	mediate	3
4442	approach	recognize	leadership	3
4443	organizational	knowledge	creation	35
4444	charismatic_leadership_theory	transformational_leadership_theory	charismatic_leadership_theory	4
4445	leadership	focus	study	3
4446	theory	process	relational	3
4447	approach	focus	relationship	3
4448	base	approach	focus	4
4449	explanation	leader	effectiveness_level	3
4450	ongoing	local	cultural	6
4451	decision	approach	status	3
4452	leadership	base	self##construal	3
4453	employee	stress	affective##be	18
4454	leader	influence	follower	44
4455	leadership	empower	team	4
4456	leadership	theory	need	3
4457	exchange	contribution	exchange	3
4458	align	approach	explain	3
4459	researcher	enter	situation	3
4460	commitment	form	basis	3
4461	relational	situate	model	4
4462	productive	high	school	4
4463	follower	influence	leader	4
4464	multiple	activate	relational	3
4465	embed	organizational	environmental	3
4466	develop	multifactor	leadership	4
4467	correlation	procedural	justice	3
4468	leader	consistent	entity	3
4469	organization	distant	future	3
4470	relationship	transformational_leadership_theory	trust	5
4471	leadership	murrell	see	3
4472	state	norm	reciprocity	3
4473	aesthetic	approach	leadership	4
4474	demand	increase	job	4
4475	leader	inspirational	motivation	5
4476	pure	constructionist	approach	3
4477	work	factor	job	3
4478	operationalization	leadership	style	4
4479	relational	dynamics	social	8
4480	mediation	safety	climate	3
4481	consistency	leadership	style	5
4482	team	member	focus	3
4483	perception	effective	leadership	3
4484	leadership	delegation	practice	3
4485	level_five_leadership_model	trait	leadership	7
4486	version	transformational_leadership_theory	theory	3
4487	collectivity	social	dynamic	3
4488	calculate	pool	correlation	3
4489	combination	low	commitment	7
4490	event	theory	self##determination	4
4491	discourse	term	relational	6
4492	human	resource	activity	4
4493	effectiveness_level	expect	leader	3
4494	match	mismatch	case	3
4495	team	member	trust	4
4496	relationship	base	leadership	15
4497	work	apply	social	3
4498	subordinate	help	subordinate	3
4499	style	follower	readiness	5
4500	space	human	encounter	3
4501	link	leadership	effectiveness_level	4
4502	care	concern	appreciation	5
4503	personal	charismatic_leadership_theory	charismatic_leadership_theory	3
4504	group	agreement	climate	10
4505	leadership	complex	phenomenon	3
4506	share	common	experience	4
4507	formal	leadership	position	7
4508	contribute	trust	building	7
4509	consideration##initiate	structure	vertical_dyad_linkage_theory	7
4510	paper	organize	provide	3
4511	difference	approach	modern	3
4512	charismatic_leadership_theory	transformational_leadership_theory	literature	4
4513	team	leader	appropriate	3
4514	affect	group	performance	3
4515	frequency	solution	proposal	7
4516	performance	standard	shape	3
4517	initiate	structure	leader	7
4518	exchange	develop	base	3
4519	leader	perform	situation	3
4520	set	moment	key	3
4521	leader	characteristic	identify	3
4522	criterion	satisfaction	leader	3
4523	conceive	term	in##group	3
4524	leader	represent	characteristic	3
4525	level	match	case	3
4526	relationship	view	leadership	3
4527	perception	leadership	style	6
4528	bradbury	lichtensteins	review	3
4529	inform	view	issue	5
4530	design	test	leadership	3
4531	competitive	innovative	culture	3
4532	relational	social	reality	3
4533	vertical_dyad_linkage_theory	characteristic	relationship	3
4534	omnibus	test	present	4
4535	address	approach	dachler	3
4536	collectivity	relationship	base	3
4537	leader	perceive	trustworthy	3
4538	leadership	effectiveness_level	conceptualize	4
4539	influence	team	performance	6
4540	organizational_outcome	leadership	approach	4
4541	model	leadership	transformational_leadership_theory	3
4542	study	positive	relation	3
4543	expand	role	responsibility	3
4544	discuss	deal	deviation	3
4545	influence	perception	leadership	3
4546	social	comparison	social	3
4547	relationship	separate	independent	3
4548	leader##employee	work	value	3
4549	organizational	climate	culture	5
4550	teacher	leadership	role	3
4551	leadership	model	hold	3
4552	approach	organization	member	3
4553	moral	exercise	power	3
4554	ontology	entity	approach	3
4555	variable	leadership	perception	3
4556	influence	demonstrate	benefit	3
4557	case	study	research	3
4558	value	outside	organization	3
4559	contact	people	focus	3
4560	intend	illustrate	possibility	3
4561	self##concept	derive	connection	3
4562	characteristic	characteristic	leader	4
4563	traitlike	individual	difference	3
4564	leadership	style	sector	6
4565	dynamics	leadership	formal	3
4566	produce	unified	theory	3
4567	influence	discussion	satisfaction	3
4568	occur	interact	individual	3
4569	consistent	constructivist	entity	3
4570	blake##mouton_managerial_grid_model_leadership	develop	blake##mouton_managerial_grid_model_leadership	4
4571	assessment	laboratory	study	3
4572	present	study	investigate	3
4573	relationship	nationality	educational	4
4574	subdimension	transformational_leadership_theory	number	3
4575	share	cultural	element	13
4576	powerful	performance	long	3
4577	enhance	knowledge	share	3
4578	leadership	privileged	ontology	3
4579	experience	inform	cognition	3
4580	sense	self##base	individual	3
4581	mediate	variable	employee	3
4582	follower	burnout	stronger	4
4583	follower	trust	correctness	3
4584	variable	outcome	variable	3
4585	social	responsibility	policy	3
4586	high	entitativity	group	3
4587	diversity	leadership	researcher	3
4588	express	confidence	subordinate	4
4589	gender	leadership	effectiveness_level	4
4590	finding	interpret	caution	3
4591	cartesian	dogma	clear	3
4592	characteristic	working	life	28
4593	leadership	style	organization	5
