	gram_1	gram_2	Freq
2440	explore	leadership	19
2441	depend	supervisor	5
2442	leadership	typical	3
2443	factor	foster	3
2444	business	practice	4
2445	reproduce	change	3
2446	function	job##level	3
2447	conceptual	approach	13
2448	follower	present	7
2449	strategic	organizational	5
2450	condition	group	10
2451	causality	leader	8
2452	include	effective	4
2453	school	operation	3
2454	include	articulation	3
2455	cooperative	climate	40
2456	share	mental	10
2457	choice	constraint	4
2458	explain	phenomenon	3
2459	perception	mediate	4
2460	value	source	3
2461	leadership	interact	6
2462	leadership	potential	17
2463	faculty	staff	4
2464	multiple	domain	5
2465	cynefin	approach	4
2466	leader##follower	identify	8
2467	increase	manager	3
2468	adaptive	outcome	4
2469	leadership	phenomena	33
2470	climate	result	6
2471	future	direction	20
2472	romanticize	leadership	7
2473	leader	mission	13
2474	agentic	behavior	3
2475	concern	potential	4
2476	style	variable	16
2477	questionnaire	administer	5
2478	organizational_outcome	development	5
2479	communication	human	3
2480	implement	strategy	8
2481	positive	experience	5
2482	nature	dyadic	3
2483	experience	value	7
2484	focal	leader	4
2485	characteristic	characterize	6
2486	substitute	leader	9
2487	saga	storytelling	3
2488	four	dependent	3
2489	negative	relation	8
2490	criterion	effective	5
2491	historical	analysis	4
2492	organizational	policy	19
2493	assess	self##report	4
2494	resource	job	3
2495	individual	initiative	4
2496	view	job	3
2497	stakeholder	organization	3
2498	follower	transformational	17
2499	feeling	behave	3
2500	behavior	combine	4
2501	inter##follower	process	6
2502	positive	reward	4
2503	personal	professional	10
2504	point	positive	4
2505	educational	system	10
2506	process	balance	3
2507	follower	interested	5
2508	organization	differentiate	6
2509	leadership	activity	29
2510	nan	characteristic	3
2511	analysis	finding	8
2512	characteristic	distinguish	11
2513	organization	hersey##blanchard_situational_leadership_model	3
2514	behavior	supportive	10
2515	organizational_outcome	substitute_leadership_theory	4
2516	provide	constructive	4
2517	relevance	specific	3
2518	participative	manager	8
2519	face	relation	3
2520	level	need	8
2521	individual	intention	3
2522	evidence	theorys	3
2523	differ	respect	5
2524	antecedent	organizational_outcome	36
2525	mean	symbol	3
2526	early	concept	4
2527	function	contextual	3
2528	scale	capture	3
2529	agreeableness	related	6
2530	landholder	benefit	3
2531	strategic	issue	3
2532	variety	job	3
2533	mind	nature	6
2534	interaction	result	3
2535	leader	form	16
2536	relationship	transaction	3
2537	possess	trait	7
2538	condition	vertical_dyad_linkage_theory	4
2539	motivational	force	6
2540	person	theory	4
2541	attribution	result	4
2542	relationship	tend	5
2543	structure	control	7
2544	organization	comprise	5
2545	effectiveness_level	transactional_transformational_leadership_model	5
2546	group	bring	3
2547	leader	win	3
2548	form	high##characteristic	8
2549	individual	reality	4
2550	suggestion	role	3
2551	obligation	job	4
2552	peer	leadership	10
2553	r	i	4
2554	involvement	individual	4
2555	behaviour	attitude	4
2556	leadership	first	7
2557	constructionist	relational	3
2558	team	facilitate	5
2559	core	process	4
2560	model	perception	4
2561	leader	standard	3
2562	intend	human	6
2563	conduct	sample	3
2564	experience	joy	3
2565	positive	job	10
2566	tullocks	theory	3
2567	forceful	enable	3
2568	scale	item	14
2569	organization	establish	8
2570	further	leader	5
2571	strong	collective	3
2572	level##analysis	theory	10
2573	self##construal	include	3
2574	benefit	realization	19
2575	follower	trait	6
2576	lack	confidence	7
2577	business	benefit	4
2578	accept	ethical	3
2579	develop	situational_contingency_theory	10
2580	leader	specific	14
2581	argument	mention	3
2582	position	role	10
2583	context	influence	25
2584	supplemental	material	3
2585	role	organization	7
2586	meet	expectation	11
2587	follower	superior	4
2588	model	hold	9
2589	hold	formal	6
2590	propose	people	4
2591	customer	relationship	12
2592	network	leadership	18
2593	focus	future	7
2594	first	social	3
2595	persuasive	communication	4
2596	leadership	researcher	74
2597	employee	inclined	3
2598	influence	understand	3
2599	program	reflect	3
2600	characteristic	differentiate	10
2601	external	effectiveness_level	14
2602	people	skill	4
2603	house	lirtzmans	3
2604	step	process	3
2605	ability	benevolence	9
2606	rating	presidential	4
2607	contribution	group	22
2608	physical	context	5
2609	leader	empirical	7
2610	supervisory	approach	11
2611	knowledge	human	4
2612	united	kingdom	5
2613	performance	characteristic	41
2614	framework	emphasize	5
2615	set	criterion	7
2616	suggest	charismatic_leadership_theory	23
2617	cultural	characteristic	6
2618	resource	leadership	12
2619	consideration	component	3
2620	stress	dynamics	3
2621	member	exchange	52
2622	rule	standard	5
2623	leader	historical	4
2624	responsibility	moderate	5
2625	people	in##group	6
2626	group	transactional	3
2627	lead	approach	4
2628	factor	intercorrelation	5
2629	intelligence	correlate	5
2630	leader	attentive	5
2631	emphasis	social	3
2632	experience	intelligence	4
2633	reward	contingent	25
2634	involve	member	8
2635	attract	attention	7
2636	context	emergence	4
2637	leader##follower	process	3
2638	organize	condition	5
2639	personal	organizational_outcome	30
2640	social##interactionist	approach	4
2641	provide	basis	20
2642	third	factor	4
2643	leader##follower	term	3
2644	succession	party	6
2645	woman	occupy	7
2646	performance	argue	6
2647	collective	mental	3
2648	knowledge	embed	3
2649	practice	inventory	21
2650	factor	transformational_leadership_theory	8
2651	member	welfare	15
2652	situation	vulnerability	3
2653	define	employee	3
2654	expect	related	4
2655	behavior	characterize	12
2656	external	reward	7
2657	three	distinct	17
2658	action	explain	5
2659	care	follower	5
2660	innovation	involve	3
2661	theory	help	4
2662	member	social	7
2663	hosking	relational	4
2664	way	deal	4
2665	dynamic	unfold	3
2666	paradigm	discourse	3
2667	enactive	mastery	7
2668	team	functional	11
2669	root	problem	3
2670	positive	facial	4
2671	bass	burns	4
2672	rule	regulation	8
2673	follower	degree	4
2674	problem	solve	10
2675	team	outcome	41
2676	function	team	4
2677	leadership	isolate	3
2678	emphasize	relational	6
2679	unit##level	outcome	3
2680	informal	organization	7
2681	organizational	subunit	7
2682	external	incentive	3
2683	emotion	experience	3
2684	question	condition	3
2685	characteristic	contribute	6
2686	group	greater	8
2687	commitment	organizational	21
2688	three	job	3
2689	measure	perceive	6
2690	endogenous	variable	9
2691	culture	gender	4
2692	believe	people	14
2693	maintain	enhance	3
2694	culture	study	8
2695	transform	leadership	27
2696	hersey##blanchard_situational_leadership_model	suggest	4
2697	commitment	task	11
2698	finding	trust	3
2699	negative	reciprocity	11
2700	contribution	vertical_dyad_linkage_theory	7
2701	response	model	3
2702	development	social	7
2703	conflict	study	3
2704	transformational##transactional_transformational_leadership_model	factor	3
2705	leader	larger	4
2706	trust	related	4
2707	mediate	interaction	4
2708	transactional_transformational_leadership_model	suggest	5
2709	researcher	understand	5
2710	leadership	innovative	11
2711	doctoral	dissertation	3
2712	respect	obligation	8
2713	expect	correlate	4
2714	organizational	determinant	9
2715	aesthetics	serve	3
2716	hypothesize	charismatic_leadership_theory	3
2717	approach	create	9
2718	relationship	need	14
2719	characteristic	render	3
2720	problem	encourage	3
2721	exchange	network	3
2722	company	scholar	3
2723	job	supervisor	3
2724	argue	leader	46
2725	bullying	observer	3
2726	risk	incur	3
2727	test	include	3
2728	term	business	4
2729	organization	test	3
2730	description	leadership	10
2731	positive	function	4
2732	agency	environment	3
2733	questionnaire	charismatic_leadership_theory	5
2734	propose	difference	3
2735	style	outcome	4
2736	job	managerial	4
2737	safety	climate	182
2738	willingness	perform	3
2739	environment	key	5
2740	relation	change	6
2741	dynamics	team	3
2742	three	question	9
2743	behavior	contexts	3
2744	satisfaction	relationship	22
2745	behavior	transform	3
2746	member	create	5
2747	support	fact	3
2748	subordinate	group	6
2749	value	provide	4
2750	scale	multifactor	9
2751	interaction	place	5
2752	follower	appropriate	4
2753	degree	trust	4
2754	consideration	task	4
2755	model	organizational	108
2756	broad	style	4
2757	factor	share	4
2758	characteristic	reveal	3
2759	dynamic	complex	4
2760	situation	follower	18
2761	social	action	12
2762	resource	support	9
2763	analysis	cell	3
2764	low	organizational	3
2765	model	task	9
2766	power	politics	3
2767	effectiveness_level	dimension	6
2768	process	middle	4
2769	profile	theory	15
2770	behavior	hersey##blanchard_situational_leadership_model	8
2771	middle	class	4
2772	interaction	relational	6
2773	daily	reproduction	3
2774	subordinate	control	4
2775	relationship	collective	7
2776	feedback	job	4
2777	skill	concerned	3
2778	emphasis	approach	3
2779	leader	nature	3
2780	stogdill	conclude	3
2781	previous	theory	12
2782	task	provide	14
2783	relational	dialogue	6
2784	woman	school	3
2785	member	achieve	13
2786	company	year	3
2787	self##efficacy	affective	5
2788	staff	school	4
2789	follower	readiness	26
2790	theory	recognize	10
2791	source	work	4
2792	analysis	sample	7
2793	communication	leader##subordinate	4
2794	set	proposition	5
2795	argument	transformational_leadership_theory	3
2796	share	model	4
2797	leadership	paradigm	17
2798	greater	self##awareness	6
2799	motivational	variable	3
2800	managerial	leader	12
2801	characterization	leader##follower	3
2802	construction	understanding	3
2803	leadership	derive	8
2804	behavior	cover	4
2805	member	response	3
2806	three	leadership	21
2807	principal	occupy	10
2808	follower	finding	3
2809	feeling	helplessness	4
2810	common	approach	16
2811	magnitude	organizational_outcome	6
2812	style	social	6
2813	role	fit	9
2814	behavioral	requirement	3
2815	simultaneous	examination	3
2816	follower	dependence	5
2817	member	approach	13
2818	create	stressful	3
2819	variable	predict	10
2820	collect	analyze	4
2821	nonredundant	contact	4
2822	variable	direct	5
2823	agreeableness	leader	3
2824	expectation	follower	46
2825	value	transmit	4
2826	bureaucracy	control	3
2827	change	project	8
2828	reduce	influence	4
2829	exchange	relation	6
2830	organizational	change	72
2831	feel	comfor	13
2832	study	advanced	3
2833	select	out	3
2834	interact	follower	4
2835	agree	follower	5
2836	square	format	3
2837	offstein	propose	3
2838	leader	credibility	6
2839	subordinate	vertical_dyad_linkage_theory	4
2840	positive	face	41
2841	favorable	perception	3
2842	literature	emotion	5
2843	derive	social	4
2844	relationship	higher	5
2845	i	effectiveness_level	3
2846	theory	person	6
2847	more	relationship	4
2848	recommend	lead	3
2849	emphasis	task##relationship	4
2850	design	measure	4
2851	sufficient	information	4
2852	behavior	contribute	20
2853	intelligence	leader	12
2854	range	year	3
2855	milestone	convert	3
2856	follower	information	3
2857	development	approach	14
2858	more	organizational_outcome	3
2859	performance	view	3
2860	rely	leadership	8
2861	type	leader	71
2862	relational	exchange	3
2863	situation	nurse	3
2864	process	type	5
2865	result	behavior	7
2866	leadership	respect	3
2867	theory	greater	5
2868	number	innovation	3
2869	time	measurement	3
2870	consensus	exist	3
2871	individual	understand	12
2872	network	analytic	3
2873	development	technology	3
2874	correct	deficiency	3
2875	corporate	governance	6
2876	degree	agreement	3
2877	task	role	17
2878	experience	year	3
2879	stakeholder	follower	3
2880	difference	ii	4
2881	rhetorical	strategy	10
2882	approach	comprehensive	3
2883	emerge	area	5
2884	effectiveness_level	focus	6
2885	component	define	3
2886	member	subgroup	3
2887	feedback	leadership	3
2888	experience	affective	5
2889	idea	implementation	10
2890	organizational_outcome	need	16
2891	information	power	5
2892	studies	university	187
2893	complementary	approach	7
2894	accord	social	7
2895	inform	planning	3
2896	direct	relationship	47
2897	action	include	3
2898	result	study	136
2899	category	perception	3
2900	situation	reason	3
2901	rational	culture	10
2902	transactional	factor	3
2903	scale	prefer	3
2904	lack	opportunity	5
2905	order	social	3
2906	approach	apply	7
2907	tie	vertical_dyad_linkage_theory	3
2908	approach	describe	4
2909	high	developmental	3
2910	vulnerability	subordinate	3
2911	work	person	3
2912	contractual	basis	4
2913	attachment	relationship	15
2914	encourage	appropriate	5
2915	dimension	factor	5
2916	difference	positive	4
2917	form	information	3
2918	add	effectiveness_level	3
2919	organizational_outcome	feel	8
2920	category	i	3
2921	leader	moral	22
2922	value	relevant	3
2923	refer	extent	11
2924	local	culture	3
2925	hardiness	job	3
2926	construct	influence	3
2927	scholar	define	3
2928	create	team	6
2929	sample	need	11
2930	small	portion	5
2931	involve	ability	6
2932	individual	expect	5
2933	resource	planning	74
2934	member	apply	4
2935	validate	measure	4
2936	measure	accept	7
2937	notion	swedish	3
2938	characteristic	play	4
2939	behavior	remain	11
2940	report	work	4
2941	theory	human	10
2942	moderate	influence	19
2943	manager	rate	12
2944	outcome	influence	5
2945	understand	accept	4
2946	value	attend	3
2947	understanding	ability	3
2948	centralization	power	9
2949	transformational##transactional	nonleadership	4
2950	analysis	five	3
2951	behaviour	mention	3
2952	grooming	son	4
2953	performance	prior	3
2954	question	interest	3
2955	stressful	event	6
2956	development	comprehensive	4
2957	ratio	gain	4
2958	size	range	3
2959	year	review	6
2960	group	represent	3
2961	construct	distribute	3
2962	creativity	enhance	3
2963	network	develop	4
2964	posit	trait	4
2965	reduce	personal	4
2966	positive	association	48
2967	sum	individual	3
2968	provide	characteristic	4
2969	consist	number	3
2970	organizational_outcome	achievement	20
2971	motivation	confidence	5
2972	concerned	relationship	7
2973	symbolic	action	7
2974	value	desire	10
2975	make	distinction	4
2976	base	premise	9
2977	relationship	number	3
2978	behavior	test	10
2979	leader	enable	6
2980	action	strategy	5
2981	resource	develop	3
2982	concerned	organizational_outcome	5
2983	culture	characteristic	5
2984	engage	style	3
2985	refer	degree	4
2986	occur	charismatic_leadership_theory	4
2987	feasible	set	22
2988	unit	effectiveness_level	16
2989	compliance	organizational	3
2990	sub##grouping	analysis	3
2991	element	emotional	3
2992	meet	people	3
2993	foster	work	3
2994	influence##base	notion	3
2995	experience	woman	3
2996	commitment	motivation	15
2997	cultural	conditioning	4
2998	consistent	leadership	4
2999	phase	process	5
3000	individual	contribution	39
3001	offer	potential	9
3002	empower	leader	8
3003	additional	communication	3
3004	lack	interaction	3
3005	valid	predictor	6
3006	approach	cultural	4
3007	relative	illuminate	3
3008	action	involve	3
3009	manager	perform	11
3010	process	transformation	5
3011	affect	follower	30
3012	humility	enable	3
3013	perception	influence	18
3014	manager	experience	6
3015	maximize	leader	3
3016	pressure	meet	3
3017	oriented	style	4
3018	higher	proportion	4
3019	argue	result	3
3020	understanding	action	3
3021	aspect	organizational	16
3022	transformational_leadership_theory	affective	10
3023	leadership	great	3
3024	approach	network	3
3025	suggest	project	3
3026	member	cultural	3
3027	unfold	entity	3
3028	aspect	task	3
3029	fact	woman	6
3030	object	nature	3
3031	context	variable	7
3032	organizational_outcome	accept	5
3033	correspond	four	3
3034	prescriptive	principle	7
3035	outside	box	4
3036	researcher	coding	10
3037	potential	moderator	9
3038	strategy	result	4
3039	nursing	chairperson	3
3040	influence	individual	43
3041	exchange	base	9
3042	level	scholarly	5
3043	practice	manage	3
3044	wing	party	3
3045	revolution	mind	3
3046	member	network	22
3047	model	motivation	4
3048	relational	approach	146
3049	include	control	5
3050	leader	plan	10
3051	system	complex	10
3052	internal	process	12
3053	extroversion	agreeableness	6
3054	unit	ethical_leadership_theory	4
3055	reduce	effectiveness_level	3
3056	performance	other	6
3057	charismatic_leadership_theory	influence	22
3058	perception	profile	7
3059	property	entity	3
3060	build	environment	3
3061	short	term	90
3062	article	present	12
3063	mission	leader	6
3064	burns	leadership	3
3065	irrespective	leader	3
3066	related	perception	5
3067	follower	lead	13
3068	field	measure	3
3069	method	provide	3
3070	perform	duty	5
3071	view	approach	14
3072	interdependent	contexts	3
3073	message	leader	6
3074	organizational_outcome	communicate	7
3075	nature	provide	3
3076	influence	attempt	30
3077	safe	climate	3
3078	follower	internalize	5
3079	establish	link	4
3080	role	top##management	4
3081	behaviour	imply	4
3082	family	collectivism	5
3083	confidence	ability	3
3084	leader	senior	7
3085	leader	individualize	9
3086	establish	group	8
3087	value	radio	17
3088	effectiveness_level	report	6
3089	cultural	context	19
3090	questionnaire	evidence	3
3091	evaluation	apprehension	8
3092	manager	job	19
3093	reflect	leader	14
3094	improvingqualityeducation	cadre	3
3095	harvard	business	9
3096	conversation	analysis	4
3097	behavior	play	6
3098	power	plant	11
3099	support	constrain	3
3100	enable	member	3
3101	prove	valid	3
3102	analysis	variance	9
3103	tactic	safety	4
3104	generate	basis	4
3105	future	address	5
3106	variety	approach	4
3107	level_five_leadership_model	charismatic_leadership_theory##related	3
3108	culture	religion	3
3109	construction	real	3
3110	basic	process	3
3111	appeal	high	4
3112	school	individualize	15
3113	motivational	social	4
3114	individual	differ	4
3115	constructive	employee	3
3116	charismatic_leadership_theory	emergence	5
3117	ethic	i	3
3118	vertical_dyad_linkage_theory	investigate	3
3119	worker	motivated	4
3120	effective	organization	14
3121	admire	identify	4
3122	capacity	organization	5
3123	sacrifice	relevant	3
3124	theorize	influence	3
3125	subordinate	compare	4
3126	problem	organization	3
3127	offer	researcher	3
3128	develop	learn	4
3129	creation	organization	3
3130	believe	work	3
3131	style	overlap	4
3132	review	antecedent	4
3133	external	social	4
3134	support	interaction	6
3135	bring	social	4
3136	s3	participate	5
3137	high##level	trust	5
3138	performance	theoretical	3
3139	manager	younger	4
3140	approach	modern	4
3141	theory	assess	3
3142	behavior	inaction	3
3143	understanding	basis	3
3144	consistent	argument	9
3145	discourse	view	3
3146	member	confidence	7
3147	leader	emotional	15
3148	point	need	3
3149	behaviour	transformational_leadership_theory	6
3150	leadership	rate	4
3151	co##worker	principal	5
3152	effectiveness_level	situational_contingency_theory	7
3153	interesting	approach	7
3154	member	relation	3
3155	relationship	identify	10
3156	construct	effectiveness_level	39
3157	project	organization	5
3158	theory	ii	4
3159	understand	know	3
3160	murrell	see	3
3161	organizational_outcome	turnover	3
3162	variable	proportion	4
3163	moderate	effectiveness_level	5
3164	leadership	emphasize	22
3165	leadership	central	12
3166	maintain	work	4
3167	legitimate	expectation	3
3168	support##factor	model	3
3169	constraint	leader	4
3170	charismatic_leadership_theory##related	follower	3
3171	role	change	3
3172	trait	need	3
3173	relationship	participative	5
3174	estimate	organizational_outcome	3
3175	write	memo	3
3176	action	build	4
3177	anonymity	moderate	14
3178	degree	fit	3
3179	interest	team	4
3180	result	characteristic	6
3181	leader	structuring	20
3182	expertise	skill	7
3183	practitioner	alike	5
3184	bond	leader	3
3185	behaviour	successful	5
3186	satisfied	autocratic	3
3187	leader	exploit	3
3188	such	effort	3
3189	characteristic	grow	3
3190	usa	workforce	3
3191	activate	infuse	3
3192	previous	empirical	5
3193	charismatic_leadership_theory	personal	3
3194	anticipate	positive	4
3195	motivation	base	6
3196	moral	ethical	21
3197	relationship	position	3
3198	mean	unit	8
3199	positive	affectivity	7
3200	skill	improve	4
3201	house	crise	3
3202	theory	stimulate	4
3203	expectation	ethical	5
3204	consideration	related	6
3205	form	negative	4
3206	leadership	movement	4
3207	unit##level	property	22
3208	share	power	17
3209	give	mean	4
3210	conduct	professional	4
3211	secure	leader	9
3212	leader	intervene	4
3213	perceive	investment	3
3214	management	framework	3
3215	generation	knowledge	3
3216	discrepancy	status	3
3217	resource##base	view	5
3218	process	traditional	4
3219	model	concept	3
3220	performance	use	4
3221	study	lord	4
3222	supervisor	peer	3
3223	emphasize	improve	6
3224	predict	organizational_outcome	7
3225	vertical_dyad_linkage_theory	identification	3
3226	employee	leader	21
3227	behavioural	school	4
3228	function	negative	6
3229	greater	group	8
3230	creative	performance	9
3231	family	environment	4
3232	change	examine	4
3233	model	prove	7
3234	assign	task	22
3235	predictor	performance	4
3236	pursue	establish	4
3237	influence	cognitive	3
3238	statistical	model	9
3239	leadership	experience	11
3240	human	organizational	4
3241	effort	behalf	10
3242	style	assess	4
3243	independent	dyad	3
3244	pro	con	10
3245	staff	parent	3
3246	value	four	3
3247	military	religious	3
3248	influence	subsequent	4
3249	create	theory	4
3250	examine	simultaneous	3
3251	behavior	attribution	6
3252	professional	standard	5
3253	follower	consider	5
3254	maher	suggest	4
3255	effectiveness_level	mental	3
3256	study	manager##subordinate	3
3257	cite	definition	4
3258	component	procedural	4
3259	relationship##oriented	preclude	3
3260	leadership	reward	5
3261	power	job	3
3262	greater	control	4
3263	competence	leader	5
3264	agreement	perception	5
3265	satisfy	need	4
3266	outcome	ethical_leadership_theory	3
3267	relationship	domain	6
3268	condition	high	22
3269	related	organizational	23
3270	value	hold	8
3271	follower	form	11
3272	skill	level	13
3273	direction	organization	10
3274	possess	specific	3
3275	performance	company	7
3276	review	examine	4
3277	danger	turn	3
3278	approach	dimension	3
3279	related	task	14
3280	reach	organizational_outcome	12
3281	team	leader##subordinate	3
3282	need	improvement	6
3283	friendship	mutual	3
3284	organizational_outcome	know	3
3285	exist	cognitive	3
3286	transactional_transformational_leadership_model	refer	5
3287	leader	decide	6
3288	task	effort	8
3289	clan	culture	10
3290	demand	climatic	3
3291	skill	individual	5
3292	leadership	distinct	6
3293	focus	thematic	3
3294	motivation	opportunity	3
3295	common	dimension	4
3296	transformational_leadership_theory	key	5
3297	willingness	develop	6
3298	depend	situation	17
3299	provide	order	3
3300	search	universal	4
3301	linear	relationship	4
3302	transformational_leadership_theory	beneficial	7
3303	relationship	objective	3
3304	organizational_outcome	expectation	10
3305	relational	network	11
3306	emphasize	individual	3
3307	minor	injury	5
3308	charismatic_leadership_theory	effectiveness_level	7
3309	there	increase	3
3310	organizational	role	27
3311	lead	proposition	7
3312	strategic	business	4
3313	define	authentic_leadership_theory	5
3314	i	serve	3
3315	write	rule	4
3316	relationship	performance	9
3317	non##model	leader	8
3318	ability	inspire	11
3319	affect	like	3
3320	suggest	knowledge	3
3321	leadership	job	16
3322	leader	variety	3
3323	performance	differ	5
3324	self##regulation	broadly	3
3325	leader	ability	111
3326	error	variance	6
3327	study	direct	9
3328	leadership	external	4
3329	expect	task##oriented	4
3330	moral	authority	3
3331	examination	organizational_outcome	3
3332	framework	approach	10
3333	direct	evidence	3
3334	support	vertical_dyad_linkage_theory	4
3335	generalize	require	3
3336	reliability	construct	3
3337	eader	behavior	3
3338	result	imply	5
3339	identify	relationship	10
3340	sufficient	empirical	3
3341	arrow	represent	4
3342	leadership	female	8
3343	contingency	process	5
3344	domain	vertical_dyad_linkage_theory	7
3345	modeling	process	3
3346	rule	resource	3
3347	performance	creative	4
3348	perception	ethical_leadership_theory	5
3349	house	spangler	7
3350	theory	analysis	6
3351	rating	source	4
3352	correlation	procedural	4
3353	taxonomy	task	6
3354	teacher	empowerment	3
3355	performance	maintenance	6
3356	event	positive	3
3357	social	reality	23
3358	treat	member	4
3359	fellow	participant	4
3360	assessment	group	6
3361	manager	support	7
3362	related	issue	6
3363	major	problem	5
3364	model	type	3
3365	connection	relationship	6
3366	study	seek	12
3367	size	standard	5
3368	behavior	review	6
3369	competency	school	3
3370	linkage	leader##follower	3
3371	organizational_outcome	participative	11
3372	manager	face	9
3373	approach	base	16
3374	context	social	13
3375	organization	related	11
3376	mediation	safety	3
3377	provide	strong	8
3378	absolute	size	4
3379	assert	strong	3
3380	accomplish	organizational_outcome	24
3381	objective	measure	46
3382	power	leadership	19
3383	display	effective	4
3384	blame	credit	3
3385	unfair	treatment	5
3386	learning	environment	5
3387	actual	behavioral	3
3388	case	nonhereditary	3
3389	community	serve	4
3390	version	leader	3
3391	team	primary	4
3392	appropriate	reaction	3
3393	concern	question	3
3394	interpersonal	relationship	97
3395	effort	determine	4
3396	address	adaptive	3
3397	construct	variable	3
3398	culture	strong	5
3399	satisfy	higher	8
3400	task	variability	7
3401	member	base	3
3402	function	specific	6
3403	objective	sense	3
3404	standard	moral	4
3405	interaction	individual	18
3406	organizational	routine	12
3407	bound	entity	3
3408	moderate	variable	21
3409	approach	focus	53
3410	outcome	variable	55
3411	ability	measure	4
3412	value	corporate	7
3413	level	combination	6
3414	characteristic	idealize	6
3415	behavioral	school	3
3416	leader	action	62
3417	reaction	superior	4
3418	consideration	supervisor	3
3419	variation	individual	5
3420	understand	process	6
3421	manager	increase	6
3422	justice	subordinate	3
3423	occur	leader##follower	14
3424	dependent	leader	8
3425	increase	rate	3
3426	transformational_leadership_theory	mediate	5
3427	model	supervisor	4
3428	leadership	instrumental	4
3429	transformational_leadership_theory##related	employee	8
3430	truman	state	3
3431	anonymity	lead	3
3432	client	environment	3
3433	risk	trust	3
3434	facilitate	change	7
3435	effectiveness_level	conceptualize	4
3436	invest	time	3
3437	value	organizational	6
3438	interpret	follower	10
3439	condition	shift	3
3440	structural	process	3
3441	ensure	organizational_outcome	3
3442	isolate	organizational_outcome	3
3443	chain	stakeholder	12
3444	dark	side	5
3445	change	promote	3
3446	behavior	description	92
3447	kong	australian	3
3448	test	prediction	5
3449	understanding	way	4
3450	leader	considerateness	7
3451	long	list	3
3452	self##confidence	self##esteem	3
3453	corporate	reputation	5
3454	evidence	leader	9
3455	partici	pative	3
3456	provide	context	8
3457	third	group	4
3458	occur	interact	6
3459	concern	leadership	7
3460	autocratic	group	4
3461	graen	conclude	3
3462	behavioral	repertoire	3
3463	factor	critical	3
3464	advance	theory	5
3465	predic	reciprocating	3
3466	theory	development	26
3467	style	prevalent	3
3468	return	response	3
3469	connect	network	10
3470	i	create	3
3471	case	group	3
3472	process	accomplish	10
3473	antecedent	transformational_leadership_theory	4
3474	categorization	approach	13
3475	mean	purpose	5
3476	modify	hersey##blanchard_situational_leadership_model	4
3477	task	third	3
3478	study	insight	3
3479	base	follower	7
3480	task	organizational	21
3481	innovator	early	3
3482	approach	proposition	4
3483	stronger	identification	3
3484	perception	distant	8
3485	participant	focus	4
3486	improve	management	3
3487	good	bad	12
3488	priority	study	3
3489	create	negative	3
3490	prefer	model	3
3491	organizational_outcome	objective	20
3492	empowerment	delegation	4
3493	begin	investigate	3
3494	express	preference	4
3495	performance	boundary	3
3496	member	opportunity	4
3497	adoption	radio	3
3498	critical	approach	4
3499	behavior	high##performance	4
3500	confidence	enthusiasm	3
3501	comparison	alternative	4
3502	enhance	psychological	3
3503	structure	facilitate	3
3504	affect	burnout	3
3505	culture	expect	5
3506	distance	superior##subordinate	3
3507	factor	correlation	6
3508	manager	implement	6
3509	personal	gain	7
3510	group	tend	5
3511	interdependent	work##group	4
3512	trait_approach	skill	6
3513	objective	change	3
3514	concept	trait	6
3515	effective	follower	8
3516	acquire	resource	5
3517	organizational_outcome	process	19
3518	leader	take	16
3519	promote	characteristic	6
3520	individual	cognitive	3
3521	organization	possibility	3
3522	fair	trade	3
3523	address	process	7
3524	subsequent	leader	10
3525	leader	stress	27
3526	development	opportunity	5
3527	extravert	experience	3
3528	concept	team	3
3529	responsibility	member	3
3530	charismatic_leadership_theory	variable	3
3531	number	team	4
3532	knowledge	need	4
3533	organization	kind	4
3534	manager	evaluate	3
3535	leader	basis	6
3536	aid	survival	5
3537	expectation	role	12
3538	employee	result	7
3539	maintenance	function	3
3540	article	theory	3
3541	sense	collective	7
3542	entity	people	4
3543	bcp	central	3
3544	main	interactive	5
3545	behavior	clarify	6
3546	literature	social	4
3547	major	taxonomy	3
3548	high	school	37
3549	inspirational	approach	6
3550	research	design	3
3551	work	good	3
3552	transformational_leadership_theory	hand	4
3553	social	order	64
3554	relate	performance	6
3555	human	motivation	7
3556	relational	dimension	4
3557	establish	model	7
3558	move	call	3
3559	leader	rhetoric	3
3560	semiotics	rhetorical	3
3561	hot	climate	3
3562	group	alter	6
3563	performance	ongoing	3
3564	topic	hand	4
3565	differ	approach	9
3566	subordinate	high	14
3567	turn	point	7
3568	task	issue	3
3569	mean	considerate	3
3570	leader	gender	14
3571	attachment	scale	3
3572	situation	characterize	6
3573	style	good	3
3574	less	process	3
3575	behavior	idealize	8
3576	focus	psychological	7
3577	religious	value	3
3578	leadership	political	9
3579	role	provide	3
3580	structural	hole	22
3581	leader	satisfaction	5
3582	lead	believe	7
3583	follower	adopt	4
3584	leadership	support	24
3585	symptom	anxiety	10
3586	group	perceive	4
3587	solution	accept	4
3588	interaction	cognitive	3
3589	major	paradigm	3
3590	support	contention	10
3591	voice	listen	3
3592	behavior##subordinate	attitude	4
3593	patter	and	7
3594	school	study	5
3595	contrast	relationship	3
3596	extent	leadership	19
3597	practice	development	5
3598	supervisor	trust	6
3599	safety	concern	5
3600	clarify	expectation	11
3601	diverse	group	17
3602	result	strong	5
3603	leadership	arise	5
3604	perceive	value	10
3605	performance	product	5
3606	task	accomplishment	21
3607	state	influence	5
